Local Area Unemployment Statistics,,,,,,,
Original Data Value,,,,,,,
,,,,,,,
Series Id:,"LASST010000000000003,LASST010000000000004,LASST010000000000005,LASST010000000000006,LASST010000000000007,LASST010000000000008",,,,,,
2003,May,62.0,58.3,2119791,1991145,128646,6.1
2003,Jun,62.0,58.2,2119995,1989915,130080,6.1
2003,Jul,62.0,58.1,2120069,1989307,130762,6.2
2003,Aug,61.9,58.1,2120356,1989749,130607,6.2
2003,Sep,61.9,58.1,2121165,1991337,129828,6.1
2003,Oct,61.9,58.2,2122748,1993817,128931,6.1
2003,Nov,62.0,58.2,2125012,1996704,128308,6.0
2003,Dec,62.0,58.3,2127526,1999528,127998,6.0
2004,Jan,62.0,58.3,2129625,2001919,127706,6.0
2004,Feb,62.1,58.4,2131120,2003968,127152,6.0
2004,Mar,62.1,58.4,2132602,2006189,126413,5.9
2004,Apr,62.1,58.4,2134257,2008779,125478,5.9
2004,May,62.1,58.5,2136041,2011549,124492,5.8
2004,Jun,62.1,58.5,2137625,2014209,123416,5.8
2004,Jul,62.1,58.6,2138850,2016648,122202,5.7
2004,Aug,62.1,58.6,2139614,2018841,120773,5.6
2004,Sep,62.0,58.6,2139879,2020730,119149,5.6
2004,Oct,62.0,58.6,2139644,2022353,117291,5.5
2004,Nov,61.9,58.6,2138854,2023985,114869,5.4
2004,Dec,61.8,58.6,2138018,2026186,111832,5.2
2005,Jan,61.8,58.6,2137724,2029283,108441,5.1
2005,Feb,61.7,58.7,2138143,2033021,105122,4.9
2005,Mar,61.7,58.8,2139056,2037082,101974,4.8
2005,Apr,61.7,58.9,2140454,2041410,99044,4.6
2005,May,61.7,59.0,2142465,2045970,96495,4.5
2005,Jun,61.8,59.0,2144888,2050306,94582,4.4
2005,Jul,61.8,59.1,2147465,2053965,93500,4.4
2005,Aug,61.8,59.1,2149816,2056864,92952,4.3
2005,Sep,61.7,59.1,2151648,2059203,92445,4.3
2005,Oct,61.7,59.0,2153032,2061454,91578,4.3
2005,Nov,61.6,59.0,2154321,2063787,90534,4.2
2005,Dec,61.6,59.0,2155457,2065979,89478,4.2
2006,Jan,61.6,59.0,2156619,2068193,88426,4.1
2006,Feb,61.5,59.0,2158218,2070573,87645,4.1
2006,Mar,61.5,59.1,2160541,2072993,87548,4.1
2006,Apr,61.6,59.1,2163401,2075248,88153,4.1
2006,May,61.6,59.1,2166179,2077289,88890,4.1
2006,Jun,61.6,59.1,2168311,2079075,89236,4.1
2006,Jul,61.6,59.0,2169938,2080799,89139,4.1
2006,Aug,61.6,59.0,2171457,2082696,88761,4.1
2006,Sep,61.5,59.0,2173040,2084889,88151,4.1
2006,Oct,61.5,59.1,2174902,2087658,87244,4.0
2006,Nov,61.5,59.1,2177005,2090825,86180,4.0
2006,Dec,61.5,59.1,2178766,2093624,85142,3.9
2007,Jan,61.5,59.1,2179543,2095291,84252,3.9
2007,Feb,61.5,59.1,2178931,2095516,83415,3.8
2007,Mar,61.4,59.0,2176785,2094241,82544,3.8
2007,Apr,61.2,58.9,2173924,2091857,82067,3.8
2007,May,61.1,58.8,2171384,2089043,82341,3.8
2007,Jun,61.0,58.7,2169967,2086659,83308,3.8
2007,Jul,61.0,58.6,2170255,2085346,84909,3.9
2007,Aug,61.0,58.5,2172270,2085207,87063,4.0
2007,Sep,61.0,58.5,2175380,2085939,89441,4.1
2007,Oct,61.0,58.5,2178388,2086659,91729,4.2
2007,Nov,61.0,58.4,2180164,2086787,93377,4.3
2007,Dec,61.0,58.4,2180630,2086157,94473,4.3
2008,Jan,60.9,58.3,2180011,2084307,95704,4.4
2008,Feb,60.9,58.1,2178866,2081227,97639,4.5
2008,Mar,60.8,58.0,2178034,2077321,100713,4.6
2008,Apr,60.8,57.8,2177852,2072897,104955,4.8
2008,May,60.7,57.7,2178344,2068253,110091,5.1
2008,Jun,60.7,57.5,2179192,2063354,115838,5.3
2008,Jul,60.6,57.3,2179298,2057701,121597,5.6
2008,Aug,60.6,57.0,2178199,2050572,127627,5.9
2008,Sep,60.5,56.7,2176487,2041145,135342,6.2
2008,Oct,60.4,56.3,2174964,2028929,146035,6.7
2008,Nov,60.3,55.9,2174068,2014057,160011,7.4
2008,Dec,60.3,55.4,2173742,1997479,176263,8.1
2009,Jan,60.2,54.9,2173685,1980615,193070,8.9
2009,Feb,60.2,54.4,2173720,1964927,208793,9.6
2009,Mar,60.2,54.0,2173702,1951720,221982,10.2
2009,Apr,60.1,53.7,2173271,1941359,231912,10.7
2009,May,60.0,53.4,2171932,1932868,239064,11.0
2009,Jun,59.9,53.2,2169509,1925237,244272,11.3
2009,Jul,59.8,52.9,2165955,1917686,248269,11.5
2009,Aug,59.6,52.7,2161334,1909996,251338,11.6
2009,Sep,59.4,52.5,2156021,1902838,253183,11.7
2009,Oct,59.2,52.3,2150606,1896957,253649,11.8
2009,Nov,59.1,52.1,2146482,1893152,253330,11.8
2009,Dec,59.0,52.1,2144499,1891907,252592,11.8
2010,Jan,59.0,52.1,2144182,1893169,251013,11.7
2010,Feb,58.9,52.1,2143881,1895920,247961,11.6
2010,Mar,58.9,52.2,2142133,1898914,243219,11.4
2010,Apr,59.6,53.2,2202028,1964959,237069,10.8
2010,May,59.9,53.7,2215715,1985529,230186,10.4
2010,Jun,59.8,53.8,2215606,1991532,224074,10.1
2010,Jul,59.7,53.8,2212806,1992510,220296,10.0
2010,Aug,59.6,53.7,2211477,1991908,219569,9.9
2010,Sep,59.6,53.7,2212523,1990948,221575,10.0
2010,Oct,59.7,53.6,2215139,1990369,224770,10.1
2010,Nov,59.7,53.6,2217545,1990270,227275,10.2
2010,Dec,59.7,53.6,2218306,1990304,228002,10.3
2011,Jan,59.7,53.5,2217245,1990151,227094,10.2
2011,Feb,59.6,53.5,2214781,1989525,225256,10.2
2011,Mar,59.5,53.5,2211546,1988337,223209,10.1
2011,Apr,59.4,53.4,2208494,1986912,221582,10.0
2011,May,59.3,53.4,2206536,1985926,220610,10.0
2011,Jun,59.2,53.3,2205399,1985894,219505,10.0
2011,Jul,59.2,53.4,2204490,1987195,217295,9.9
2011,Aug,59.1,53.4,2202706,1989639,213067,9.7
2011,Sep,59.0,53.4,2198917,1992593,206324,9.4
2011,Oct,58.8,53.5,2193291,1995331,197960,9.0
2011,Nov,58.6,53.5,2186335,1997246,189089,8.6
2011,Dec,58.4,53.5,2179075,1998090,180985,8.3
2012,Jan,58.2,53.5,2173177,1998157,175020,8.1
2012,Feb,58.1,53.5,2170249,1998044,172205,7.9
2012,Mar,58.1,53.4,2170701,1997949,172752,8.0
2012,Apr,58.1,53.4,2173301,1997920,175381,8.1
2012,May,58.2,53.4,2176682,1998414,178268,8.2
2012,Jun,58.2,53.4,2179696,1999858,179838,8.3
2012,Jul,58.2,53.5,2181117,2002056,179061,8.2
2012,Aug,58.2,53.5,2181066,2004772,176294,8.1
2012,Sep,58.2,53.6,2180876,2008050,172826,7.9
2012,Oct,58.1,53.6,2181018,2011534,169484,7.8
2012,Nov,58.1,53.7,2181645,2014832,166813,7.6
2012,Dec,58.1,53.7,2182661,2017815,164846,7.6
2013,Jan,58.1,53.7,2181055,2017941,163114,7.5
2013,Feb,58.0,53.7,2180812,2019734,161078,7.4
2013,Mar,58.0,53.8,2179552,2021069,158483,7.3
2013,Apr,57.9,53.8,2178107,2022206,155901,7.2
2013,May,57.9,53.8,2176524,2022526,153998,7.1
2013,Jun,57.8,53.7,2174765,2021523,153242,7.0
2013,Jul,57.7,53.6,2173167,2019444,153723,7.1
2013,Aug,57.6,53.5,2171405,2016769,154636,7.1
2013,Sep,57.6,53.4,2169270,2013925,155345,7.2
2013,Oct,57.5,53.3,2167625,2011611,156014,7.2
2013,Nov,57.5,53.3,2167180,2010357,156823,7.2
2013,Dec,57.4,53.3,2167665,2010100,157565,7.3
2014,Jan,57.4,53.3,2167589,2010442,157147,7.2
2014,Feb,57.4,53.3,2168122,2011318,156804,7.2
2014,Mar,57.4,53.3,2167611,2011797,155814,7.2
2014,Apr,57.3,53.2,2165472,2011409,154063,7.1
2014,May,57.2,53.2,2162335,2010805,151530,7.0
2014,Jun,57.1,53.2,2159591,2011006,148585,6.9
2014,Jul,57.1,53.2,2157687,2012088,145599,6.7
2014,Aug,57.0,53.2,2156791,2013967,142824,6.6
2014,Sep,57.0,53.3,2156474,2016370,140104,6.5
2014,Oct,56.9,53.3,2155862,2018798,137064,6.4
2014,Nov,56.9,53.3,2154576,2020730,133846,6.2
2014,Dec,56.8,53.4,2153458,2022147,131311,6.1
2015,Jan,56.9,53.4,2155229,2025225,130004,6.0
2015,Feb,56.9,53.4,2156195,2026213,129982,6.0
2015,Mar,56.9,53.5,2158191,2027365,130826,6.1
2015,Apr,57.0,53.5,2160755,2028665,132090,6.1
2015,May,57.0,53.5,2162849,2029647,133202,6.2
2015,Jun,57.0,53.5,2163514,2029908,133606,6.2
2015,Jul,57.0,53.4,2162981,2029739,133242,6.2
2015,Aug,56.9,53.4,2162075,2029663,132412,6.1
2015,Sep,56.9,53.4,2161765,2030331,131434,6.1
2015,Oct,56.9,53.4,2162971,2032300,130671,6.0
2015,Nov,56.9,53.5,2165764,2035509,130255,6.0
2015,Dec,57.0,53.6,2169206,2039299,129907,6.0
2016,Jan,57.1,53.7,2172388,2042932,129456,6.0
2016,Feb,57.1,53.7,2174756,2045861,128895,5.9
2016,Mar,57.1,53.8,2175985,2047937,128048,5.9
2016,Apr,57.1,53.8,2176610,2049567,127043,5.8
2016,May,57.1,53.8,2177744,2051324,126420,5.8
2016,Jun,57.2,53.8,2179914,2053478,126436,5.8
2016,Jul,57.2,53.9,2182979,2056026,126953,5.8
2016,Aug,57.3,53.9,2186380,2058626,127754,5.8
2016,Sep,57.3,54.0,2189475,2060940,128535,5.9
2016,Oct,57.4,54.0,2191550,2062982,128568,5.9
2016,Nov,57.4,54.0,2192334,2065186,127148,5.8
2016,Dec,57.3,54.1,2191838,2067861,123977,5.7
2017,Jan,57.3,54.2,2190329,2071081,119248,5.4
2017,Feb,57.2,54.2,2188348,2074705,113643,5.2
2017,Mar,57.1,54.3,2186288,2078249,108039,4.9
2017,Apr,57.1,54.4,2184662,2081749,102913,4.7
2017,May,57.0,54.5,2183769,2085452,98317,4.5
2017,Jun,57.0,54.5,2183742,2089327,94415,4.3
2017,Jul,57.0,54.6,2184590,2093230,91360,4.2
2017,Aug,57.0,54.7,2185775,2096855,88920,4.1
2017,Sep,57.0,54.8,2186882,2099944,86938,4.0
2017,Oct,57.0,54.8,2187906,2102409,85497,3.9
2017,Nov,57.0,54.8,2189013,2104285,84728,3.9
2017,Dec,57.1,54.9,2190664,2106038,84626,3.9
2018,Jan,57.1,54.9,2193503,2108270,85233,3.9
2018,Feb,57.2,55.0,2197940,2111603,86337,3.9
2018,Mar,57.4,55.1,2203652,2116089,87563,4.0
2018,Apr,57.5,55.2,2209336,2120773,88563,4.0
2018,May,57.6,55.3,2213939,2124833,89106,4.0
2018,Jun,57.7,55.4,2217374,2128455,88919,4.0
2018,Jul,57.7,55.4,2219912,2132025,87887,4.0
2018,Aug,57.8,55.5,2222360,2135951,86409,3.9
2018,Sep,57.8,55.6,2225266,2140433,84833,3.8
2018,Oct,57.9,55.7,2228692,2145326,83366,3.7
2018,Nov,57.9,55.8,2232417,2150295,82122,3.7
2018,Dec,58.0,55.9,2235806,2154840,80966,3.6
2019,Jan,58.1,56.0,2237931,2158471,79460,3.6
2019,Feb,58.0,56.0,2238155,2160923,77232,3.5
2019,Mar,58.0,56.1,2237126,2162757,74369,3.3
2019,Apr,58.0,56.1,2236130,2164945,71185,3.2
2019,May,57.9,56.2,2236013,2167956,68057,3.0
2019,Jun,57.9,56.3,2237028,2171639,65389,2.9
2019,Jul,58.0,56.3,2239558,2176144,63414,2.8
2019,Aug,58.0,56.4,2242626,2180477,62149,2.8
2019,Sep,58.1,56.5,2245766,2184271,61495,2.7
2019,Oct,58.1,56.5,2247981,2186771,61210,2.7
2019,Nov,58.1,56.5,2248190,2186809,61381,2.7
2019,Dec,58.1,56.5,2247886,2186356,61530,2.7
2020,Jan,58.1,56.5,2247721,2186652,61069,2.7
2020,Feb,58.0,56.4,2243960,2184305,59655,2.7
2020,Mar,57.2,55.2,2216529,2138541,77988,3.5
