Local Area Unemployment Statistics,,,,,
Original Data Value,,,,,
,,,,,
Series Id:,"LAUCT485338800000003,LAUCT485338800000004,LAUCT485338800000005,LAUCT485338800000006",,,,
2019,Jun,67224,65469,1755,2.6
2019,Jul,67811,65997,1814,2.7
2019,Aug,67230,65407,1823,2.7
2019,Sep,67594,65891,1703,2.5
2019,Oct,67732,66015,1717,2.5
2019,Nov,67680,65905,1775,2.6
2019,Dec,67447,65713,1734,2.6
2020,Jan,67383,65286,2097,3.1
2020,Feb,67669,65622,2047,3.0
2020,Mar,66180,63533,2647,4.0
