"HOUSEHOLD DATA
ANNUAL AVERAGES 
26.  Unemployed persons by industry, class of worker, and sex",,,,,,,,
Social assistance,109,107,4.2,4.0,4.9,4.5,4.1,3.9
Leisure and hospitality,791,746,5.7,5.2,5.8,5.3,5.6,5.2
"Arts, entertainment, and recreation",150,141,5.6,5.1,6.0,5.0,5.1,5.2
Accommodation and food services,640,605,5.7,5.3,5.7,5.4,5.7,5.1
Accommodation,80,72,5.3,4.7,4.9,4.5,5.7,4.9
Food services and drinking places,560,533,5.8,5.3,5.8,5.5,5.7,5.2
Other services,229,217,3.3,3.2,3.2,2.9,3.5,3.4
"Other services, except private households",191,171,3.2,2.9,3.1,2.7,3.2,3.1
Repair and maintenance,65,59,3.5,3.3,3.2,3.2,5.6,3.9
Personal and laundry services,57,62,2.8,3.1,3.1,2.6,2.7,3.2
Membership associations and organizations,68,50,3.1,2.4,2.9,1.9,3.4,2.8
Private households,39,46,4.8,5.3,9.0,11.0,4.4,4.7
,,,,,,,,
Agricultural and related private wage and salary workers(2),124,129,7.2,7.4,6.4,6.3,9.8,10.5
,,,,,,,,
Government workers,505,496,2.3,2.3,2.3,2.2,2.4,2.4
,,,,,,,,
"Self-employed workers, unincorporated, and unpaid family workers",285,263,2.8,2.7,2.9,2.8,2.7,2.5
,,,,,,,,
No previous work experience,602,591,–,–,–,–,–,–
,,,,,,,,
Footnotes:,,,,,,,,
(1) Includes a small number of persons whose last job was in the Armed Forces.,,,,,,,,
(2) Includes self-employed workers whose businesses are incorporated.,,,,,,,,
"(3) Includes other industries, not shown separately.",,,,,,,,
"NOTE:  Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,,,
