Table 2. Contributions to Percent Change in Real Gross Domestic Product,,,,,,,,,,,,,,,,,,,,
Line,,2017,2018,2019,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates
50,Government consumption expenditures and gross investment,0.12,0.30,0.41,-0.12,0.31,0.19,-0.04,0.24,-0.02,0.42,0.33,0.44,0.36,-0.07,0.50,0.82,0.30,0.44,0.13
51,Federal,0.05,0.19,0.23,-0.18,0.13,0.04,-0.08,0.21,0.01,0.30,0.18,0.25,0.19,0.07,0.14,0.53,0.22,0.22,0.12
52,National defense,0.03,0.13,0.19,-0.21,0.13,-0.04,-0.07,0.25,-0.06,0.17,0.02,0.28,0.11,0.20,0.29,0.13,0.09,0.17,0.03
53,Consumption expenditures,0.00,0.09,0.14,-0.13,0.16,-0.01,-0.13,0.15,-0.06,0.10,0.02,0.23,0.11,0.07,0.25,0.13,0.01,0.09,0.11
54,Gross investment,0.03,0.04,0.05,-0.07,-0.03,-0.02,0.06,0.10,0.00,0.07,0.00,0.05,0.01,0.12,0.04,-0.01,0.08,0.08,-0.08
55,Nondefense,0.02,0.07,0.04,0.03,0.00,0.08,0.00,-0.04,0.07,0.13,0.16,-0.03,0.07,-0.12,-0.15,0.40,0.13,0.05,0.08
56,Consumption expenditures,0.01,0.06,0.02,0.01,-0.01,0.05,-0.02,-0.06,0.07,0.10,0.18,-0.03,0.05,-0.14,-0.16,0.36,0.10,0.05,0.07
57,Gross investment,0.02,0.00,0.02,0.02,0.01,0.02,0.02,0.01,0.00,0.03,-0.02,0.00,0.02,0.02,0.01,0.04,0.03,0.00,0.01
58,State and local,0.07,0.11,0.18,0.06,0.18,0.15,0.03,0.03,-0.02,0.12,0.15,0.19,0.17,-0.14,0.36,0.29,0.08,0.22,0.02
59,Consumption expenditures,0.07,0.08,0.10,0.18,0.22,0.06,0.01,0.04,0.07,0.07,0.08,0.10,0.14,0.06,0.10,0.07,0.15,0.11,-0.08
60,Gross investment,0.00,0.02,0.08,-0.12,-0.05,0.09,0.02,-0.01,-0.09,0.06,0.07,0.10,0.03,-0.20,0.26,0.23,-0.08,0.11,0.09
 ,,,,,,,,,,,,,,,,,,,,
Source: U.S. Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,
